timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1617112120533,4508,AUTHENTICATE,200,OK,NBT_TEST 1-1,text,false,"The operation lasted too long: It took 4,508 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1385,1024,1,1,https://kai-webview-en-us-stage.kitsys.net/kai/api/v2/capi/event,4508,0,226
1617112132941,12358,tokenKCBHD,200,OK,NBT_TEST 1-1,text,false,"The operation lasted too long: It took 12,358 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1265,1298,1,1,https://kai-webview-en-us-stage.kitsys.net/kai/api/v2/capi/user_message,12357,0,128
1617112133359,415,tokenKCBHD,200,OK,NBT_TEST 1-1,text,true,,1441,1283,1,1,https://kai-webview-en-us-stage.kitsys.net/kai/api/v2/capi/user_message,415,0,124
1617112133504,142,tokenKCBHD,200,OK,NBT_TEST 1-1,text,true,,1160,1324,1,1,https://kai-webview-en-us-stage.kitsys.net/kai/api/v2/capi/user_message,141,0,0
1617112133740,234,tokenKCBHD,200,OK,NBT_TEST 1-1,text,true,,1180,1283,1,1,https://kai-webview-en-us-stage.kitsys.net/kai/api/v2/capi/user_message,234,0,0
1617112134168,425,tokenKCBHD,200,OK,NBT_TEST 1-1,text,true,,1246,1320,1,1,https://kai-webview-en-us-stage.kitsys.net/kai/api/v2/capi/user_message,425,0,0
1617112134475,305,tokenKCBHD,200,OK,NBT_TEST 1-1,text,true,,1223,1283,1,1,https://kai-webview-en-us-stage.kitsys.net/kai/api/v2/capi/user_message,305,0,0
1617112134604,127,tokenKCBHD,200,OK,NBT_TEST 1-1,text,true,,1552,1303,1,1,https://kai-webview-en-us-stage.kitsys.net/kai/api/v2/capi/user_message,126,0,0
1617112134726,120,tokenKCBHD,200,OK,NBT_TEST 1-1,text,true,,1437,1304,1,1,https://kai-webview-en-us-stage.kitsys.net/kai/api/v2/capi/user_message,120,0,0
1617112135397,669,tokenKCBHD,200,OK,NBT_TEST 1-1,text,true,,1636,1313,1,1,https://kai-webview-en-us-stage.kitsys.net/kai/api/v2/capi/user_message,669,0,0
1617112135654,254,tokenKCBHD,200,OK,NBT_TEST 1-1,text,true,,1365,1307,1,1,https://kai-webview-en-us-stage.kitsys.net/kai/api/v2/capi/user_message,254,0,119
1617112135748,92,tokenKCBHD,200,OK,NBT_TEST 1-1,text,true,,1397,1282,1,1,https://kai-webview-en-us-stage.kitsys.net/kai/api/v2/capi/user_message,92,0,0
1617112135862,112,tokenKCBHD,200,OK,NBT_TEST 1-1,text,true,,1438,1304,1,1,https://kai-webview-en-us-stage.kitsys.net/kai/api/v2/capi/user_message,112,0,0
1617112136934,1069,tokenKCBHD,200,OK,NBT_TEST 1-1,text,true,,1235,1299,1,1,https://kai-webview-en-us-stage.kitsys.net/kai/api/v2/capi/user_message,1068,0,0
1617112137043,107,tokenKCBHD,200,OK,NBT_TEST 1-1,text,true,,1090,1287,1,1,https://kai-webview-en-us-stage.kitsys.net/kai/api/v2/capi/user_message,107,0,0
1617112137306,261,tokenKCBHD,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,NBT_TEST 1-1,text,false,Response was null,2897,0,1,1,https://kai-webview-en-us-stage.kitsys.net/kai/api/v2/capi/user_message,0,0,0
